Mouse gene name	Gene name
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
mt-Nd1	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
mt-Nd2	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
mt-Co1	MT-CO1
	MT-TS1
	MT-TD
mt-Co2	MT-CO2
	MT-TK
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
	MT-TG
mt-Nd3	MT-ND3
	MT-TR
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
	MT-TE
mt-Cytb	MT-CYB
	MT-TT
	MT-TP
n-R5-8s1	5_8S_rRNA
	AC240274.1
	5S_rRNA
	BX004987.1
	OPRL1
	NPBWR2
	AC226131.1
	MYT1
	AL121581.1
	PCMTD2
	KIR3DL3
	KIR2DL3
	KIR2DP1
	KIR2DL1
	KIR3DP1
	KIR2DL4
	LILRP1
	AC245128.39
	LILRP2
	KIR3DL1
	LILRP1
	AC245128.35
	KIR3DL3
	LILRP2
	KIR3DL3
	KIR2DL3
	KIR2DP1
	KIR2DL1
	KIR2DL3
	KIR3DP1
	KIR2DL4
	KIR3DL1
	AC025771.3
	AC025771.2
	LINC02109
	AC112172.1
	KIR2DP1
	KIR2DS4
	KIR2DL1
	AC208876.2
	KIR3DL2
	AC208876.1
	AC116609.3
	KIR3DP1
	KIR2DL4
	LILRP1
	LILRP2
	KIR3DL3
	LILRP1
	U6
	AC245128.15
	KIR2DS4
	KIR3DL2
	FCAR
	GU182359.6
	GU182359.1
	LILRP2
	LILRP1
	KIR3DP1
	KIR3DL3
	KIR2DL4
	LILRP2
	KIR3DL3
	LILRP1
	AC245128.37
	LILRP2
	KIR3DL1
	U6
	KIR3DL3
	GU182345.5
	KIR2DL3
	GU182345.3
	GU182358.6
	GU182345.4
	KIR2DL1
	GU182345.8
	KIR2DP1
	KIR2DL3
	KIR2DL1
	KIR2DP1
	KIR3DP1
	KIR2DL1
	KIR2DL4
	GU182359.7
	KIR3DP1
	KIR2DL4
	KIR3DL3
	KIR3DL1
	KIR3DP1
	NCR1
	KIR2DL4
	GU182351.1
	GU182351.7
	GU182359.5
	GU182351.4
	GU182359.8
	GU182359.3
	KIR3DL2
	KIR3DL1
	GU182351.10
	GU182351.9
	KIR2DL1
	KIR3DL3
	KIR2DS4
	KIR3DL1
	KIR3DL2
	SNTG2
	GU182351.3
	KIR2DL4
	LILRP1
	LILRP2
	KIR2DL3
	U6
	KIR2DP1
	KIR3DL3
	KIR2DL1
	U6
	KIR3DL3
	LILRP1
	AC245128.17
	LILRP2
	AL133414.10
	KIR3DL3
	KIR3DL3
	KIR2DS4
	LILRP1
	KIR2DS2
	KIR3DL1
	AC245128.49
	LILRP2
	KIR2DL2
	KIR3DL2
	KIR2DL5B
	KIR3DL3
	KIR2DS3
	GU182339.2
	GU182357.3
	KIR2DL1
	GU182338.4
	GU182357.10
	KIR3DP1
	LILRP1
	GU182357.9
	AC245128.58
	LILRP2
	GU182357.1
	KIR2DL4
	KIR2DL4
	KIR2DL3
	KIR3DL3
	GU182357.5
	KIR2DS4
	KIR2DL1
	GU182354.2
	KIR2DL1
	KIR3DL2
	KIR2DL3
	KIR2DP1
	AL133414.2
	KIR2DL1
	LILRP1
	KIR3DP1
	KIR2DL4
	AC245128.54
	LILRP2
	KIR2DL4
	GU182343.8
	GU182349.4
	KIR2DL3
	LILRP2
	U6
	GU182349.2
	KIR3DL3
	GU182354.3
	KIR2DL4
	GU182343.2
	GU182351.8
	KIR3DP1
	KIR2DS2
	KIR3DP1
	KIR3DL1
	U6
	KIR2DL4
	GU182343.1
	KIR2DL4
	GU182343.3
	KIR3DS1
	KIR2DL1
	KIR3DL1
	KIR3DL1
	AL133414.8
	KIR3DL1
	KIR3DL1
	KIR2DS4
	GU182343.9
	KIR2DL4
	KIR2DL2
	KIR3DP1
	KIR2DL4
	KIR2DL5A
	GU182339.1
	KIR2DS1
	AL133414.5
	KIR3DL2
	KIR3DL1
	AL133414.9
	KIR2DS4
	AL133414.1
	KIR3DL2
	KIR3DL2
	KIR3DL1
	KIR2DS4
	KIR3DL2
	KIR2DS4
	U6
	KIR2DS4
	KIR3DL2
	KIR3DL2
	FCAR
	MEIOB
	LILRP1
	KIR2DS4
	U6
	LINC00254
	AC245128.14
	LINC02124
	LILRP2
	HS3ST6
	KIR3DL2
	KIR3DL3
	KIR2DS4
	BX072566.1
	U6
	KIR3DL2
	U6
	FCAR
	KIR2DL3
	KIR2DP1
	KIR2DL1
	U6
	LILRP1
	AC245128.41
	LILRP2
	U6
	KIR3DL3
	KIR3DL3
	KIR3DP1
